original_sentence,nearest_neighbor,cosine_similarity
ઢ.,જેમા એક ગુટ તો રૃબરૃ રજૂઆત કરવા માટે છેક પાવર પોઈન્ટ ગાંધીનગર સુધી લાંબુ થયુ હતું.,0.0000
હાઈકોર્ટના નિર્દેશોના પગલે આ કેદીઓને બાળગૃહમાંથી મુકત કરવામાં આવશે.,આ કેદીઓને ત્રણ વર્ષ સુધીની સજા કરવામાં આવી છે.,0.2444
જેમાં હવે વધારો કરવામાં આવ્યો છે.,17 ટકા નક્કી કરવામાં આવ્યો છે જ્યારે કેપિટલ ગેન પરનો સરચાર્જને દૂર કરવામાં આવ્યો છે.,0.2616
નંબર 1100 હેલ્પ લાઇનમાં 366 જેટલા કોલ આવ્યા છે.,વિદેશ ટ્રાવેલ કરીને આવ્યા હોય એમના કોન્ટેક્ટમાં હોય તો પણ આ હેલ્પ લાઇન નંબર ઉપર માહિતી આપવા અપીલ છે.,0.2292
કોઇમ્બ્તુરથી 13.,13.,0.4868
55 કલાકે ફ્લાઇટ ઉપડીને 15.,55 કલાકે કોઇમ્બ્તુર પહોંચશે.,0.2759
"દબાણના ડ્રોપની ભરપાઈ કરવા માટે, પંપનું જૂથ સ્થાપિત થયેલ છે.",થયેલ છે.,0.2572
ત્યારે હવે પેટીએમથી ટ્રાંઝેક્શન મોંઘુ થવા જઈ રહ્યું છે અને બચત યોજનાઓના વ્યાજ દરો પર પણ કાતર ફેરવાઈ શકે છે.,આ નીચા વ્યાજ દરો કેવી રીતે કરે છે?,0.2405
"જેમાં શ્રીમતી રીવાબા રવીન્દ્રસિંહ જાડેજા (કરણી સેના), શ્રીમતી રેખાબા ઝાલા(વડોદરા) વોર્ડ ૧૬ મહિલા મોરચા પ્રમુખ, શ્રીમતી બીનાબેન આચાર્ય(મંત્રી,ગુજરાત પ્રદેશ ભાજપ), શ્રીમતી ભાનુબેન બાબરીયા, (કોર્પોરેટર વોર્ડ નં.","૧ ), શ્રીમતી વંદનાબેન નીતિનભાઈ ભારદ્વાજ(સમાજ અગ્રણી), શ્રીમતી બીનાબેન કમલેશભાઈ મીરાણી (સમાજ અગ્રણી) શ્રીમતી કાશ્મીરાબેન નથવાણી (મહિલા ભાજપ અગ્રણી, શ્રીમતી નેહાબેન નેહલભાઈ શુકલ, (ટ્રસ્ટી શ્રી,એચ,એન.",0.3241
15 કલાકે ઉપડી 20.,20 કલાકે ચેન્નાઇ પહોંચશે અને ત્યાંથી ઉપડી 21.,0.3865
20 કલાકે ચેન્નાઇ પહોંચશે અને ત્યાંથી ઉપડી 21.,15 કલાકે ઉપડી 20.,0.3865
જેથી બાળકો હરતા ફરતા ગણિતના અધ્યયન નિયમિત શીખી શકે છે.,નિયમિત ગમતી કસરત કરો :,0.1275
જૈશ-એ-મોહમ્મદના સૂત્રધાર મસૂદને વૈશ્વિક ત્રાસવાદી જાહેર કરવા યુએનએસસીમાં રજૂ થયેલો પ્રસ્તાવ ચીને ટેક્નિકલ વાંધો લઈને અટકાવ્યો હતો.,"પુલવામા હુમલાના ગુનેગાર મસૂદને વૈશ્વિક આતંકી જાહેર કરવા ભારત, અમેરિકા, ફ્રાન્સ, બ્રિટને પ્રસ્તાવ રજૂ કર્યો હતો.",0.3099
ભારતીય ચિકિત્સા અનુસંધાન પરિષદ (આઇસીએમઆર)એ કોવિશીલ્ડ અને કોવેક્સિનના મિક્સ ડોઝ પર અધ્યયન કર્યુ તો પરિણામ ચોકાવનારા સામે આવ્યા હતા.,92 લાખ કેસ સામે આવ્યા હતા.,0.1219
ભારતે યુએનમાં અઝહરની સામે કેટલાક મજબૂત પુરાવાઓ પણ રજૂ કર્યા હતાં.,ભારતે પાકિસ્તાનને વારંવાર પુરાવાઓ આપ્યા હોવા છતા પાકિસ્તાન પોતાની નાપાક હરકતોમાંથી બહાર આવતુ નથી.,0.1907
જોકે આટલા પુરાવાઓથી સંતોષ ન થતા ચીને મસૂદ સામે વધારે પુરાવાની માગ કરી હતી.,ભૂતકાળમાં પણ મસૂદ વિરુદ્ધ કોઈ પુરાવા નહોતા મળ્યા.,0.1514
ચીન એવી પણ જીદ કરી હતી કે ત્રાસવાદી સંગઠન જૈશ-એ-મોહમ્મદ અને મસૂદ અઝહરને પરસ્પર કોઈ સંબંધ નથી.,ભૂતકાળમાં પણ મસૂદ વિરુદ્ધ કોઈ પુરાવા નહોતા મળ્યા.,0.1955
ભૂતકાળમાં પણ મસૂદ વિરુદ્ધ કોઈ પુરાવા નહોતા મળ્યા.,ચીન એવી પણ જીદ કરી હતી કે ત્રાસવાદી સંગઠન જૈશ-એ-મોહમ્મદ અને મસૂદ અઝહરને પરસ્પર કોઈ સંબંધ નથી.,0.1955
પ્રમુખ-ઉપ પ્રમુખને પણ કોઇ જાણકારી નથી!,"આ સુધરતો નથી, ને પોલીસ આકરી બનતી નથી!",0.1778
નવી દિલ્હીઃ યોગ્ય રીતે રોકાણ કરીને કરોડપતિ બનવાનું સપનું હોય છે.,નવી દિલ્હીઃ તા.,0.3626
આટલું જ નહીં લોકો ખાસ કરીને નોકરીયાત ઈચ્છે છે કે રિટાયરમેન્ટ સુધી કરોડપતિ બની જાય.,આટલું કરવાનું છે,0.2646
"તે સાધારણ કડક છે અને તે જ સમયે શાસ્ત્રીય છે, જે તેને ફેશનના આગેવાન વચ્ચે માંગમાં બનાવે છે તે પ્રથમ વર્ષ નથી.","તે લઈ શકે છે, કોઈપણ સમયે ઉપયોગ કરે છે.",0.1968
જો આવું બને પણ તો તમારે આવનારા કરોડો રૂપિયા પર ટેક્સ ચૂકવવો પડશે અને રકમ પછી ઓછી થઈ જશે.,"તમે કાયદાકીય રીતે કરોડો રૂપિયા કમાણી કરી શકો છો, પરંતુ હવે આ ટેક્સ ફ્રી નથી રહ્યા.",0.2248
સ્ટે.,સ્ટે.,1.0000
આ વખતના બજેટમાં નાણાંમંત્રી અરુણ જેટલીએ તેના પર ટેક્સ લગાવી દીધો છે.,તે તો વખતના વીતવા સાથે વધે અને અમર રહે તે જ બરાબર છે.,0.1595
ચીનમાં લેફ્ટ-ઓવર મહિલાઓ પર અમેરિકાના પત્રકાર રોઝિએન લેકે એક પુસ્તક લખ્યું છે.,કશ્મીરની સ્થિતિ પર 4 પુસ્તક લખી ચુક્યા છે.,0.1132
"ધનીષાબેન અમરસિંહભાઈ વડીયા – પીપલોદ,",– આર.,0.1472
આ ઘટના બાદ તે પરિવાર સાથે દિલ્હી રહેવા જતી રહી હતી જ્યાં જૂન 2018માં ફરિયાદ દાખલ કરવામાં આવો હતી.,પોલીસે શાહરુખ વિરુદ્ધ ફરિયાદ દાખલ કરી હતી.,0.2206
"પર્સમાં ક્યારેય ચાવી ન રાખો, તેનાથી પૈસાની ખોટ થાય છે, પરંતુ પર્સમાં છરી કે બ્લેડ જેવી લોખંડની વસ્તુ ક્યારેય ન રાખો.",જૂની રસીદો કે બિલ ક્યારેય પર્સમાં ન રાખો.,0.4866
ઇંગ્લેન્ડે,જેમા એક ગુટ તો રૃબરૃ રજૂઆત કરવા માટે છેક પાવર પોઈન્ટ ગાંધીનગર સુધી લાંબુ થયુ હતું.,0.0000
સાંસ્કૃતિક કાર્યક્રમે દરેકને જકડી રાખ્યા હતાં,તો તેની વિગત જાણવાનો દરેકને હક છે.,0.1588
"ના અણધડ વહીવટ કરતા કારભારીઓનો કાન ખેંચવો પણ વ્યાજબી અને જાયજ છે, પરંતુ યુનિ.",આ અંગે યુનિ.,0.2036
5-2 લિટર પ્રવાહી પ્રતિ દિવસ પ્રવાહીના ધોરણ છે).,બજારમાં પ્રવાહી સ્થિતી છે.,0.1849
તેનાથી માથાના દુખાવામાં આરામ મળશે.,આપને તેનાથી શું મળશે.,0.3477
ત્યારે રાજ્યની રૂપાણી સરકારે પાણી માટે પોતાના અધિકારીઓ અને પદાધિકારીઓને દોડતા કર્યા,મુખ્યમંત્રી વિજયભાઈ રૂપાણી અને પ્રદેશ અધ્યક્ષ સી.,0.1648
દેશની દિગ્ગજ કાર નિર્માતા કંપની મારૂતિ સુઝુકીએ પોતાની હેચબેગ કાર વેગનઆરને બે પેટ્રોલ એન્જિન વિકલ્પોની સાથે ઈન્ડિયન માર્કેટમાં ઉતારી છે.,ભારતની સૌથી મોટી કાર ઉત્પાદક મારુતિ સુઝુકીએ ઉત્પાદન ક્ષમતા ત્રણ ઘણી કરવાનું નક્કી કર્યું છે.,0.2042
તે ઉપરાંત આ કાર સીએનજી વર્ઝનમાં ઉપલબ્ધ છે.,સીએનજી પ્રતિ કિલો ભાવ રૂ.,0.3100
સીએનજી વેગનઆરમાં 1.,1.,0.3668
0 લીટર 3 સિલિન્ડર એન્જિન મળે છે જે 57PSનો પાવર અને 78Nmનો ટોર્ક જનરેટ કરે છે.,ટોર્ક એકમ - 200 એનએમ.,0.1371
મોડાસા: નગરપાલિકા દ્વારા મિલક્ત ધારકો પાસેથી વસુલાતો વેરો વર્ષ આખરે અંકે કરવા વિશેષ ઝુંબેશ હાથ ધરાઈ રહી છે.,જે માટેની પ્રક્રિયા હાથ ધરાઈ છે.,0.2232
52 કિમી પ્રતિ કિલોગ્રામની માઈલેજ આપે છે.,આ એન્જીન 120 કિમી પ્રતિ કલાકની ગતિથી સફર કરી શકે છે.,0.2243
ડેલી ઓફિસ યુઝ માટે આ કારને બેસ્ટ માનલામાં આવે છે.,"જ્યારે ઓફિસ પુરવઠોનો ઉપયોગ કરવામાં આવે છે ત્યારે મહિના દરમિયાન, એડજસ્ટિંગ એન્ટ્રી ઓફિસ ડિપોઝિટ ખર્ચ અને ક્રેડિટ પ્રીપેડ ઓફિસ પુરવઠાને ઉધાર કરવા માટે કરવામાં આવે છે.",0.1972
"આ તીવ્ર આંતરિક યુદ્ધના સમય દરમ્યાન, """" વેપારીઓના આગમન સાથે, જાપાનનો પશ્ચિમ સાથેનો પહેલો સંપર્ક થયો.",જીવલેણ સેલ અધોગતિનું કારણ એસ્બેસ્ટોસ સાથેનો સંપર્ક હોઇ શકે છે.,0.1338
સ્થાપત્યકલા.,જેમા એક ગુટ તો રૃબરૃ રજૂઆત કરવા માટે છેક પાવર પોઈન્ટ ગાંધીનગર સુધી લાંબુ થયુ હતું.,0.0000
"ટૂંકા સ્કર્ટ સાથે સંપૂર્ણ મિશ્રણ, ચુસ્ત ફિટિંગ અને ભડકતી રહી બંને.","અન્ય ખોરાકની જેમ, અથાણાંના આદુ બંદરોને લાભ અને નુકસાન બંને.",0.1820
"એક કપડા સમાન વસ્તુઓ માટે શરીર દાવો છે વિમેન્સ ઓવરલે અભિજાત્યપણુ, અસામાન્યતા અને જાતિયતા સાથે બાહ્ય ભરી.","આજે, ઘણા ફેશનિસ્ટ્સ માટે, એક્સેસરીઝ અથવા કપડા વસ્તુઓ કે જે ભાગ્યે જ ઉપયોગ કરવામાં આવે છે તે માટે તમારા શસ્ત્રાગારમાં જગ્યા ફાળવવા માટે મહત્વપૂર્ણ છે, પરંતુ આવા વસ્તુઓ સાથેની છબીઓ ખૂબ જ યાદગાર અને સુંદર છે.",0.1358
"જો કે, ઇમરાન ખાનનું એ પણ માનવું છે કે આતંકવાદીઓને બદલી શકાય છે.",આ સ્થિતિને બદલી શકાય તેમ નથી.,0.2655
"તેમણે કહ્યું કે, આતંકના સરગનાઓમાં બદલાવ લાવી શકાય છે.",આહાર માં બદલાવ,0.2165
ગુજરાતભરમાં અત્યાર સુધી 15205 કેસ નોંધાયા છે.,"આ સાથે જ રાજ્યમાં કુલ પોઝિટિવ કેસની સંખ્યા 15205 થઇ છે, જ્યારે કુલ મૃત્યુઆંક 938 થયો છે.",0.3531
તેના ભાગરૂપે હવેથી વેપારીને નાણાકીય વર્ષ દરમિયાન ૫૦ લાખ કરતા વધુનું પેમેન્ટ મળ્યું હશે તો તેના પર ૦.,તેના કારણે ત્રણ લાખની રકમ પર ૦.,0.2682
હું તેમને અહેસાસ કરાવીશ કે આતંકનો માર્ગ કોઇ સમસ્યાનુ સમાધાન નથી.,આપે કોઇ જ ચિંતા કરવાની જરૂર નથી.,0.1378
જિમની અંદર અઠવાડીયાના 6 દિવસ અલગ અલગ પ્રકારની કસરતના પ્લાનને ફોલો કરું છું.,સૌરાષ્ટ્ર યુનિવર્સિટીની જ બે અલગ અલગ રમતના ખેલાડીઓને અલગ અલગ ભાવના ટ્રેકશૂટ આપી આવો ભેદભાવ શા કરાણે કરે છે.,0.2222
"બે દિવસ પગ માટે કસરત જેવી કે લેગ એક્સ્ટેંશન, બે દિવસ વેઇટ એક્સરસાઇઝ કરું છું.",વાયર કામ બે છેડા પર માળા Stringing અને વધુ બે પાંદડીઓ કરું છું.,0.2013
જે હાથ પગ અને ખભા માટે હોય છે.,પગ ઉપર સોજો,0.2916
"એક દિવસ કિક, મુક્કેબાજી અને કેટલીક એડવાન્સ કસરત, એક દિવસ હું બેલી એરિયાને ફિટ રાખવા માટે વર્કઆઉટ કરું છું.",હું હંમેશા તેને રિપીટ કરું છું.,0.2030
ગીતિકા નિમ્ન મધ્યમ વર્ગમાંથી આવતી યુવતી હતી.,ગીતિકા કાન્ડા સાથે અનેક વખત વિદેશ પણ ગઈ હતી.,0.3144
"એ ખૂબ જ કમનીય, આકર્ષક અને નાજુક દેખાતી હતી, તેને એરહોસ્ટેસ તરીકે નોકરી કરીને પરિવારનું જીવનધોરણ સુધારવાનું સપનું હતું.",સી તરીકે નોકરી કરે છે.,0.1630
એને ખબર નહોતી કે એનું પોતાનું જીવન બગાડવાના રસ્તે આગળ વધી રહી છે.,વાતચીત કરી એને આગળ લઈને જઈ રહ્યા છે.,0.2172
‘તમે કોણ છો અમારા અંદરની બાબતોમાં બોલવાવાળા.,ચાલો જોઈએ ટ્રેનની અંદરની કેટલીક મહાન તસવીરો .,0.1562
કોરોના વાયરસને કારણે દુનિયાભરમાં 4 કરોડથી વધુ લોકો સંક્રમિત થયા છે.,"રાજકોટમાં કોરોના વાયરસને લઈ ચિંતાજનક સમાચાર, જુઓ વીડિયો",0.2290
રક્ષાપ્રધાન રાજનાથ સિંહ લદ્દાખના પ્રવાસ પર છે.,એક તરફ ભારતના ગૃહમંત્રી રાજનાથ સિંહ પાકિસ્તાનમાં છે ત્યારે પાકિસ્તાનના વડાપ્રધાન નવાઝ શરીફે કાશ્મીર મુદ્દો છેડ્યો છે.,0.1878
એના અનેક ગર્ભપાત પણ થયા હોવાનું જાણવા મળ્યું.,2ની નોંધાઈ હોવાનું જાણવા મળે છે.,0.2276
"મર્ડર / આ નેતાનાં દીકરાનું અપહરણ કરીને હત્યા કરી દેવાઈ, 50 લાખની કરી હતી માંગણી",ઉપરાંત 1993માં મુંબઈ માં ધારાસભ્ય પ્રેમકુમાર શર્મા નું પણ મર્ડર કરી ચુક્યા છે.,0.1402
અમદાવાદ: અમદાવાદ બાદ સુરત સહિત અન્ય જિલ્લાઓમાં કોરોનાના કેસમાં સતત વધારો થઈ રહ્યો છે.,ગુજરાતમાં કોરોનાના કેસો સતત વધી રહ્યા છે.,0.2316
"જ્યારે ચોથા નંબરે ઇટલી છે જેની પાસે લગભગ 2,451 ટન સોનું છે.",2 ટન સોનું છે.,0.3688
15 ટકાનો ઘટાડો કર્યો હતો.,૭ ટકાનો ઉછાળો રહ્યો હતો.,0.3715
"1 ટન, રશિયા પાસે 2,219.",1 પણ યોગ્ય છે.,0.1806
દેશમાં નવા ટ્રાફિકના કાયદાઓને લાગૂ કર્યા બાદ ગુજરાતના મુખ્યમંત્રી વિજય રૂપાણીની સ્કોર્પિયો કારનો ફોટો સોશિયલ મીડિયામાં વાયરલ થયો હતો.,દેશમાં ટ્રાફિકના નવા નિયમો લાગુ થયા બાદ ટ્રાફિકના નિયમનો ભંગ કરનાર લોકોને મોટા દંડ ફટકારાઈ રહ્યા છે.,0.2562
"5 ટન સોનું, સ્વિટ્ઝર્લેન્ડ પાસે 1,040 ટન સોનું અને જાપાન પાસે 765.",2 ટન સોનું છે.,0.4201
2 ટન સોનું છે.,8 ટન સોનું છે.,0.7679
પાકિસ્તાનની વાત કરીએ તો સૂત્રો મુજબ 2000થી 2019 સુધી સરેરાશ 64.,2019 માટે નક્કી થશે રણનીતિ,0.1779
87 ટન ગોલ્ડ રિઝર્વ છે.,2 ટન સોનું છે.,0.3039
જે ભારતથી ઘણું ઓછું છે.,2 છે જ્યારે બીજા દેશોમાં આ ભારતથી 35 ગણુ છે.,0.3033
તારીખ 18.,સુરતથી 18.,0.5731
10.,આજે સવારે 10.,0.7352
"62 ના રોજ TCC ના અધીકારી ભારતીય ભૂમિ સેનાના ટુકડી 2, જમ્મુ અને કાશ્મીર રાઈફલ્સના બહાદુર શેરે થાપાએ ખૂબ જ ફાયદાકારક સ્થીતીમાં પોતાને છુપાવી દીધા હતા અને 180 પીએલએના જવાનોને હાંકી કાઢ્યા હતા, જેના જીવલેણ અવશેષો એનજીઓ સ્ટ્રીમમાં પડ્યા હતા.",પોલીસ ટુકડી વધુ સક્રિય છે.,0.1229
સુબાશીરી નદીનો ઇતિહાસ નીચે આહિ બનાવેલ પુલ નીચે થઇ વહી જાય છે.,45 ટકા નીચે આવી છે.,0.2063
આ બનેનું ટ્યુનિંગ શાનદાર રહેતું હતું એટલે જ ફેન્સને તેમની જોડી પસંદ હતી.,આ સમયે તેમની દીકરી પણ તેમની સાથે હતી.,0.1736
કેશોદમાં થોડા દિવસો પહેલા પત્નીએ જ  પતિ પર  કુહાડી વડે જીવલેણ હુમલો કર્યો હતો.,ત્યાર પછી પત્નીએ ફરી ક્યારેય ફોન ન કર્યો,0.2083
પ્રતિષ્ઠિત લોકો સાથે મુલાકાત લાભદાયક અને સન્માનજનક રહેશે.,વર્ષના અંતે પ્રતિષ્ઠિત વ્યક્તિ સાથે મુલાકાત થશે જે તમારી લાઇફ ચેન્જ કરવા માટે મહત્વપૂર્ણ ક્ષણ બની શકે છે.,0.2427
ધાર્મિક કાર્યોમાં પણ રસ રહેશે.,ધાર્મિક યાત્રાનો યોગ.,0.2248
"મોડેલોની વિવિધતા તેમને યુવાનો અને પુખ્ત વયની બંને સ્ત્રીઓ દ્વારા પહેરવામાં આવે છે, તેમને અલગ અલગ કપડાં સાથે ભેગા કરવા;",સૌરાષ્ટ્ર યુનિવર્સિટીની જ બે અલગ અલગ રમતના ખેલાડીઓને અલગ અલગ ભાવના ટ્રેકશૂટ આપી આવો ભેદભાવ શા કરાણે કરે છે.,0.2053
અંતરથી ઘભરાશો નહી,માં કોરોના નહી લખ્યું હોય તો પણ સહાય,0.1449
તો બીજી તરફ આજથી એલપીજી ગેસની કીંમતોમાં ઘટાડો થઈ ગયો છે.,20 થઈ ગયો હતો.,0.1976
મોતનો આંકડો ચિંતાજનક રીતે વધી રહ્યો છે.,કેસોની સંખ્યા ચિંતાજનક રીતે વધી રહી છે.,0.4828
(૩) વસ્તુનો પૂરેપૂરો ઉપયોગ,"તે લઈ શકે છે, કોઈપણ સમયે ઉપયોગ કરે છે.",0.1077
"રાજ્યમાં પ્રવાસન ઉદ્યોગ ખુબ જ ઝડપથી વધી રહ્યો છે, જેની સામે વિદેશી પ્રવાસીઓ માટે યોગ્ય ગાઈડની અછત છે.",ઉદ્યોગ સાહસિકતા,0.1519
શું છે એન્ટીબોડી કોકટેલ થેરાપી,"અમને ઘણા ક્લાસિક કોકટેલ ""મિમોસા"" થી પરિચિત છે - નારંગીના રસ સાથે સ્પાર્કલિંગ વાઇનનું મિશ્રણ.",0.1737
ચેરી જામ - 200 ગ્રામ;,સફેદ શતાવરીનો છોડ - 250 ગ્રામ;,0.2902
છેલ્લી સ્થિતિ મુજબ ગુજરાતમાં કુલ 220 દર્દી સારવાર હેઠળ છે.,સમગ્ર ગુજરાતમાં કોરોનાના કુલ ૫૪ કેસ થયા છે,0.1899
નાજુક સ્થિતિના કારણે 6 દર્દીની સારવાર વેન્ટિલેટરના સહારે ચાલી રહી છે.,હાલ તેની સારવાર હોસ્પિટલમાં ચાલી છે.,0.2230
લાખો લોકો મૃત્યુ પામ્યા હોય દોઢ વર્ષ જેવો સમય વિતી ગયેલો હોઈ છતાં પણ,આ યુદ્ધમાં અત્યાર સુધીમાં હજારો લોકો મૃત્યુ પામ્યા છે.,0.2689
ગુજરાતનો રિકવરી રેટ 98.,હાલ દેશમાં રિકવરી રેટ 81.,0.4147
75 ટકાએ ફરી અટકી ગયો છે.,75 કરોડ તથા 1.,0.2871
"અત્યાર સુધીમાં રાજ્યના કુલ 8,16,577 નાગરીકોએ કોરોનાને હરાવ્યો છે, જ્યારે 10,090 નાગરીકોનો કોરોના  ભરખી ગયો છે.",ગુજરાતમાં અત્યાર સુધીમાં કોરોનાને લઇ ૪ મોત થયા છે.,0.2153
દેશમાં જે રીતે વાયુ  પ્રદુષણ વદી રહ્યું છે.,ભારતનું વાયુ બળ,0.2418
"જટિલ, મોટા પાયે મુકદ્દમા અને નિયમનકારી તપાસમાં, જાતે ગોઠવવા, ગોઠવવા અને સમીક્ષા કરવા માટે (જેને ઉદ્દેશ કોડર, ડેટાબેઝ કોડર્સ, કાનૂની કોડરો અથવા મુકદ્દમા કોડર પણ કહેવાય છે) સમીક્ષા અને કોડ દસ્તાવેજો, ફાઇલો અને અન્ય માટે ઇલેક્ટ્રોનિક ડેટાનું કદ ઘણું મોટું છે માહિતી કે જેથી મુકદ્દમાની ટુકડી કેસ અથવા પ્રોજેક્ટ દરમિયાન વધુ સરળતાથી શોધી અને માહિતી મેળવી શકે.",નકારાત્મક સમીક્ષા માટે પૈસા આપે છે.,0.1373
બંનેના કહેવા પ્રમાણે ભારતમાં વાયુ પ્રદુષણનું સ્તર વધી રહ્યું છે જે ઘણી ગંભીર સમસ્યા છે.,દેશમાં જે રીતે વાયુ  પ્રદુષણ વદી રહ્યું છે.,0.2269
વાયુ પ્રદુષણને કારણે બાળકોના શરીર પર ગંભીર અસર પડી શકે છે.,જેના કારણે આ દિકરીઓના સ્વાસ્થ્ય પર ગંભીર અસર પડે છે.,0.2669
જેમા તેમના શરીરનો વિકાસ પણ રોકાઈ શકે છે.,જેમા,0.4256
"જો તમે નેઇલ ફુગની લોક ઉપચાર સાથે સારવાર શરૂ કરો છો, ત્યારે સૌથી વધુ અસરકારક વાનગીઓ કે તમારે પ્રથમ પ્રયાસ કરવો જોઈએ - સરકો સાથે.",હવે તેમાં સરકો નાખો.,0.1830
"પૅથોજેનિક સુક્ષ્મસજીવો જે માયકોસિસનું કારણ બને છે, અસ્વસ્થ વાતાવરણમાં અસ્વસ્થતા અનુભવે છે અને તેમાં પ્રવેશ મેળવ્યા પછી થોડો સમય મૃત્યુ પામે છે.","અમારા આધુનિક વિશ્વમાં, સેવા ઉદ્યોગો સમીક્ષાઓ દ્વારા જીવંત અને મૃત્યુ પામે છે.",0.1303
એક પદ્ધતિ અને ગેરલાભ છે - સારવાર બાદ મશરૂમ્સ પાછા આવી શકે છે.,અન્ય ગેરલાભ છે - તે ખૂણા પર જ મુશ્કેલ છે.,0.3555
"આને અટકાવવા માટે, ઉપર વર્ણવેલ તમામ નિવારક પગલાં અનુસરવા જરૂરી છે.","તે મેળવવા માટે, તમે માત્ર સરળ નિયમો અનુસરવા અને હંમેશા લાગે છે કે તે જાતે અને કોઈએ ન કરવામાં આવે છે જરૂર છે.",0.2162
"તેને એલર્જીનું સૌથી ગંભીર, જીવલેણ સ્વરૂપ ગણી શકાય",સોનાને ફુગાવા સામે શ્રેષ્ઠ અસ્કામત વર્ગ તરીકે ગણી શકાય .,0.1586
ઉલ્લેખનીય છે કે જાસૂસી થઈ હોવાનું સામે આવ્યું છે જેમાં 100 જેટલાં ભારતીયોના નામ પણ ખૂલી રહ્યાં છે.,આ જ ઇન્ટરવ્યૂમાં પીસીએ જણાવ્યું છે કે લગ્ન પહેલા એ નિકની જાસૂસી પણ કરાવી ચુકી છે અને એવું કરવા પાછળનું કારણ પણ મજેદાર છે.,0.1795
સરકારે આ બાબતે વોટસએપ પાસેથી 4 દિવસમાં જવાબ માગ્યો છે.,આ બાબતે વી.,0.2325
તો રાહુલ ગાંધીએ ટ્વીટ કરીને લખ્યું કે ભારતના લોકોની જાસૂસી પર વોટસએપની પાસેથી જવાબ માગવો તે એવું જ છે કે જેમ પીએમ મોદીનું દસોને એ પૂછવું કે ફાઈટર વિમાનોની ડીલ પર કેટલા પૈસાની કમાણી કરી.,રાહુલ ગાંધીએ બજેટ ભાષણ પર વાત કરતા કહ્યુ કે નાણા મંત્રી એમ કહેવા તૈયાર નથી કે તેમણે કેટલા યુવાઓને રોજગાર આપ્યો.,0.1683
પુત્રીની લાશ કોઝવે પાસે ગટરમાંથી મળી માતાના મૃતદેહની શોધખોળ,ચાંદલોડિયા : યુવકની હત્યા કરી ફેંકી દેવાયેલી લાશ મળી,0.1391
જરૂરી એકરારનામા/બાંહેધરી       પત્રો/પ્રમાણપત્રો,સ્ત્રીઓ લાભાર્થીઓ આપો જરૂરી નથી.,0.0806
મસ્જિદની  આગળ પેર્ડાના પુટ્રા છે - મલેશિયાની વડા પ્રધાનની ચાન્સીરી.,આગળ વાંચો,0.0964
કેન્સર પર અસર,અને તેની સ્વાદ પર પણ અસર પડે છે.,0.3420
આપે કોઇ જ ચિંતા કરવાની જરૂર નથી.,તમે આ તરફ ધ્યાન ન આપ્યું હશે પરંતુ ચિંતા કરવાની જરૂર નથી.,0.4692
જયારે તમારું શરીર માંગ કરે છે.,જો તમારું શરીર પાતળું હોઈ તો નીચે આપેલા ઉપાયો કરી જુઓ.,0.3006
જ્યાં સુધી આપ ન ઇચ્છો.,પણ યાદ રાખજો 'જ્યાં સુધી તમે ન ઇચ્છો.,0.5445
તેમણે એમપણ કહ્યું કે કેન્દ્રમાં સત્તામાં આવ્યા પછી તે કાયદામાં ફેરફાર કરી બળાત્કારીઓને ફાંસીની સજાની જોગવાઇને ખતમ કરી દેશે.,11 એપ્રિલના રોજ મુરાદાબાદમાં યોજાયેલી ચૂંટણી સભામાં તેમણે એક 'અત્યંત સંવેદનશીલ અને વિવાદાસ્પદ' નિવેદનમાં કહ્યું કે છોકરા ક્યારેય-ક્યારેક ભૂલ કરી દે છે અને બળાત્કારીઓને મોતની સજા ન મળવી જોઇએ.,0.1437
' તમને થશે કે આ કહેવાનો મારો શું અર્થ છે.,',0.3844
". ચાલો જણાવી દઉ, જે પણ થઇ ગયુ છે તે ભૂતકાળ છે.",.,0.2336
અને તે તેને ભૂલીને આગળ વધી ગઇ છે.,તેની બોલબાલા ફરી એકવાર વધી ગઇ છે.,0.3003
આઇટી એક્ટની ધારા ૮૦સી અને ૮૦ડી અંતર્ગત સ્ટાન્ડર્ડ ડિડક્શનની મર્યાદા વધવાની અપેક્ષા,"સર્વેમાં જાણવા મળ્યા મુજબ 53 ટકા લોકોએ સ્ટાન્ડર્ડ ડિડક્શનની રકમ વધારીને 75,000 કરવાનું સૂચવ્યું છે.",0.2395
"ધરમપુર તાલુકા સંકલન સમિતિની શનિવારે યોજાયેલી બેઠકમાં, ધરમપુરના પીએસઆઇએ થોડા દિવસ અગાઉ ધારાસભ્ય તથા ન્યાય સમિતિના સભ્ય સાથે કરેલી વર્તણૂક અંગે ધારાસભ્યએ અકળાઈને રજૂઆત કરતા પી.",ધારાસભ્ય પી.,0.2239
બી.,બી.,1.0000
ચાલુ વર્ષે દક્ષિણ ગુજરાતની કોલેજોમાં ડિસેન્ટ્રલાઇઝ્ડ પ્રવેશની સાથે જ પ્રક્રિયામાં જડમૂળથી ફેરફારો કરાયા છે.,ચાલુ વર્ષે એમ.,0.2135
